Pays,GDP,Internet connection speeds,Alcohol consumption,Intentional homicide rate,Military expenditures,Human Dev Index,Democracy Index,Tertiary education atteinment,Importance religion,Christianity%,Islam%,Buddhism%,Jewish%,Under-five mortality,Age criminal responsibility,Minimum wage,External debt,Income equality,Health Expenditure,Suicide Rate,Fertility rate,Tobacco Consumption,Obesity Rate,Internet User,Median Age,EcoFreedom,Oil Production,PopGrowthRate,Life Expectancy,Meat consumption,Incarceration rate,Literacy Rate,WAgeFirstMarriage,Spending Education,Homeless Population,Milk Consumption,Journal Articles,Books Publised,Food Energy,Yearly Temperature
Mali,887.0,,1.3,,,0.434,3.93,,95.0,2.4,95.0,0.05,,94.0,,583.0,26.0,33.0,,8.0,5.785,13.0,8.6,12.4,16.1,58.1,,2.99,62.8,19.0,33.0,13.6,16.7,3.1,164.0,98.68,4.718,14.0,2590.0,28.25
Malta,33752.0,134.48,8.1,1.6,,0.895,7.68,,86.0,91.6,2.6,0.05,0.00063,7.0,,10668.0,691.0,29.2,,5.3,1.1,33.9,28.9,78.5,42.3,68.6,,0.31,81.9,86.9,153.0,85.8,29.2,5.3,,190.06,960.733,404.0,3600.0,19.2
Mauritania,1678.0,,0.0,,,0.546,3.92,,98.0,0.14,99.9,,,72.9,7.0,981.0,76.0,32.6,,5.5,4.503,,12.7,20.9,21.0,55.7,,2.69,68.4,29.9,53.0,26.6,19.0,2.6,,160.82,4.542,,2810.0,27.65
Mauritius,11169.0,,3.6,2.9,,0.804,8.14,,,32.2,17.3,0.05,,16.0,,2983.0,2.01,36.8,,8.8,1.4,35.9,10.8,55.5,36.3,73.0,,0.23,74.1,39.6,218.0,64.6,25.4,4.8,,117.27,106.789,80.0,2930.0,22.4
Mexico,9849.0,48.35,6.5,29.1,,0.779,6.07,21.0,73.0,88.9,0.01,0.05,0.25,14.2,12.0,3266.0,43.0,45.4,1145.0,5.3,2.103,24.1,28.9,69.0,29.3,64.7,17142.0,1.23,76.0,58.6,166.0,78.9,26.0,4.9,35.4,111.87,129.534,7521.0,3260.0,21.0
Moldova,2957.0,114.01,15.2,,,0.75,5.78,,72.0,95.3,0.4,,0.012,14.4,14.0,1895.0,70.0,25.7,,12.2,1.269,24.5,18.9,76.1,37.7,59.1,,-0.24,73.3,22.7,182.0,95.8,25.8,6.7,,155.18,51.827,,2850.0,9.45
Mongolia,4295.0,43.67,7.4,6.2,,0.737,6.48,,,1.3,5.0,55.1,,15.6,14.0,1892.0,245.0,32.7,,18.0,2.867,38.5,20.6,23.0,29.8,55.4,7739.0,1.5,68.1,108.8,154.0,94.6,26.0,4.1,,139.82,44.476,285.0,2240.0,-0.7
Montenegro,8825.0,64.44,8.0,2.2,,0.829,5.77,,71.0,78.8,19.1,0.05,,2.3,14.0,2645.0,151.0,39.0,,16.2,1.748,,23.3,80.4,39.6,60.5,,0.04,75.9,,172.0,93.9,28.6,,,349.21,398.21,,2700.0,10.55
Morocco,3282.0,,0.6,1.4,,0.686,5.04,,97.0,1.0,99.0,0.05,0.013,21.4,12.0,3736.0,46.0,39.5,,7.3,2.382,23.4,26.1,61.3,29.1,62.9,4.0,1.26,73.0,20.6,238.0,34.1,25.5,5.4,,54.68,140.359,3677.0,3260.0,17.1
Mozambique,504.0,,2.4,3.5,,0.456,3.51,,86.0,56.1,17.9,0.05,,74.2,16.0,576.0,72.0,54.0,,23.2,4.783,27.8,7.2,20.9,17.0,48.6,,2.86,58.1,5.6,63.0,26.0,17.5,6.5,246.0,4.79,4.713,,2070.0,23.8
