Pays,GDP,Internet connection speeds,Alcohol consumption,Intentional homicide rate,Military expenditures,Human Dev Index,Democracy Index,Tertiary education atteinment,Importance religion,Christianity%,Islam%,Buddhism%,Jewish%,Under-five mortality,Age criminal responsibility,Minimum wage,External debt,Income equality,Health Expenditure,Suicide Rate,Fertility rate,Tobacco Consumption,Obesity Rate,Internet User,Median Age,EcoFreedom,Oil Production,PopGrowthRate,Life Expectancy,Meat consumption,Incarceration rate,Literacy Rate,WAgeFirstMarriage,Spending Education,Homeless Population,Milk Consumption,Journal Articles,Books Publised,Food Energy,Yearly Temperature
Mexico,9849.0,48.35,6.5,29.1,2.762677100192769,0.779,6.07,21.0,73.0,88.9,0.01,0.05,0.25,14.2,12.0,3266.0,43.0,45.4,1145.0,5.3,2.103,24.1,28.9,69.0,29.3,64.7,17142.0,1.23,76.0,58.6,166.0,78.9,26.0,4.9,35.4,111.87,129.534,7521.0,3260.0,21.0
Moldova,2957.0,114.01,15.2,4.079995342279517,2.8667667542030286,0.75,5.78,40.99999999973181,72.0,95.3,0.4,0.04999999993805204,0.012,14.4,14.0,1895.0,70.0,25.7,2863.8350039173756,12.2,1.269,24.5,18.9,76.1,37.7,59.1,3194.000000019063,-0.24,73.3,22.7,182.0,95.8,25.8,6.7,35.300000000008595,155.18,51.827,2854.000000390224,2850.0,9.45
Mongolia,4295.0,43.67,7.4,6.2,2.16987474507306,0.737,6.48,40.9999999997151,83.99999999995703,1.3,5.0,55.1,0.012999999969622422,15.6,14.0,1892.0,245.0,32.7,664.6528651594035,18.0,2.867,38.5,20.6,23.0,29.8,55.4,7739.0,1.5,68.1,108.8,154.0,94.6,26.0,4.1,35.29999999998546,139.82,44.476,285.0,2240.0,-0.7
Montenegro,8825.0,64.44,8.0,2.2,5.304528024631242,0.829,5.77,40.99999999977575,71.0,78.8,19.1,0.05,0.01300000031375248,2.3,14.0,2645.0,151.0,39.0,2763.470389437864,16.2,1.748,30.29999999996764,23.3,80.4,39.6,60.5,3193.999999934953,0.04,75.9,34.95000000000685,172.0,93.9,28.6,4.300000000003699,35.30000000009636,349.21,398.21,2854.0000000405125,2700.0,10.55
Morocco,3282.0,81.73601383425125,0.6,1.4,3.267631151295552,0.686,5.04,40.999999999776776,97.0,1.0,99.0,0.05,0.013,21.4,12.0,3736.0,46.0,39.5,3434.594245290901,7.3,2.382,23.4,26.1,61.3,29.1,62.9,4.0,1.26,73.0,20.6,238.0,34.1,25.5,5.4,35.29999999990895,54.68,140.359,3677.0,3260.0,17.1
Mozambique,504.0,12.208668816140687,2.4,3.5,5.37344016015785,0.456,3.51,40.99999999957208,86.0,56.1,17.9,0.05,0.013000000011174961,74.2,16.0,576.0,72.0,54.0,-1987.0767288886136,23.2,4.783,27.8,7.2,20.9,17.0,48.6,3194.0000000786385,2.86,58.1,5.6,63.0,26.0,17.5,6.5,246.0,4.79,4.713,2853.9999996379483,2070.0,23.8
Myanmar,1421.0,91.16619245295652,4.8,2.3,4.597733000043813,0.583,3.04,40.99999999955918,97.0,6.2,6.300000000021555,89.9,0.012999999811199814,44.7,7.0,672.0,17.0,30.7,-2211.632305293122,3.0,2.138,63.3,20.400000000013684,30.5,30.00000000000388,53.6,284.0,0.9,69.1,10.7,171.0,58.2,20.5,2.2,93.7,31.48,4.301,3660.0,2749.9999999989063,13.05
Namibia,4957.0,75.3746351768309,9.8,17.7,2.605228260136598,0.646,6.52,40.99999999970049,92.0,90.0,0.4,0.05,0.00063,42.4,12.999999999651664,1895.0000000096043,64.0,59.1,3785.398614867427,13.5,3.344,27.0,17.2,38.1,21.8,58.7,3193.9999999948486,2.12,64.6,34.0,295.0,56.7,29.2,8.4,35.29999999996369,73.05,63.718,106.0,2360.0,19.95
Nepal,1074.0,59.71890729511034,2.0,2.3,2.9564354755060416,0.602,5.22,40.99999999947181,93.0,0.9,4.2,10.3,0.013000000241788712,30.8,10.0,143.0,16.0,32.8,3646.449581412467,9.8,1.876,64.2,4.1,35.9,25.3,53.8,3194.000000012369,1.09,70.9,10.0,86.0,20.8,17.9,5.2,35.300000000017235,52.1,28.189,2853.999999714084,2340.0,1.75
Netherlands,53053.0,152.94,8.7,0.6,3.895605867534382,0.944,8.96,45.0,33.0,40.4,5.1,0.2,0.19,4.0,12.0,23315.0,453.0,28.5,5436.0,9.3,1.57,32.2,20.4,93.1,42.8,76.8,107.0,0.29,81.8,89.3,63.0,64.6000000000102,30.9,5.5,21.0,341.47,1785.333,16502.0,3000.0,9.25
